BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuaranteed,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
"Alison Painter & Associates, P",4056 Tampa Rd,OLDSMAR,FL,34677,16799,EXEMPT,345000,258750,6.25,300,2017,11/17/16,11/17/16,0,7/9/41,0,,,,,,,541211,Offices of Certified Public Accountants,6,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Passion Motorsports Inc.,808 S Dixie Highway,Pompano Beach,FL,33060,16801,EXEMPT,708600,531450,5.75,120,2017,11/4/16,11/4/16,0,9/13/26,0,,,,,,,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",3,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Jessica E. Rivera PSYD, P.A.",14601 Hotel Rd Ste A-1-A,Miramar,FL,33027,16804,EXEMPT,283300,212475,5.75,300,2016,9/26/16,9/26/16,0,5/18/41,0,,,,,,,621330,Offices of Mental Health Practitioners (except Physicians),3,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Bridal Path Pit, LLC",2802 N Howard Ave,RIVERVIEW,FL,33569,16809,PIF,350000,175000,5,84,2016,9/15/16,9/15/16,0,8/10/23,0,,,,,,,237210,Land Subdivision,10,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"The Changing Place Preschool,",2400 N Haverhill Rd,WEST PALM BEACH,FL,33417,16810,EXEMPT,1907000,1430250,6,300,2016,9/8/16,9/8/16,0,4/30/41,0,,,,,,,624410,Child Day Care Services,19,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Stacy Taylor Inc.,140 Tonina Cove,MAITLAND,FL,32751,16814,EXEMPT,2688000,2016000,5.5,311,2016,9/2/16,9/2/16,0,3/20/42,0,,,,,,,611110,Elementary and Secondary Schools,17,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"AMS Trading, Inc.",2891 NW 22nd Terrace,POMPANO BEACH,FL,33069,16821,EXEMPT,200000,100000,7.25,84,2016,8/18/16,8/18/16,0,7/13/23,0,,,,,,,561790,Other Services to Buildings and Dwellings,18,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Fidelity Group LLC,East Adamo Drive,Tampa,FL,33619,16823,EXEMPT,4760000,3570000,6,300,2016,8/17/16,8/17/16,0,4/8/41,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,16,OTH 7A,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Lubis Enterprises, LLC",10155 South East 110th Ave,BELLEVIEW,FL,34420,16824,EXEMPT,538000,403500,6,300,2016,8/16/16,8/16/16,0,4/7/41,0,,,,,,,623312,Homes for the Elderly,5,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Nikclean, LLC",261 Douglas Road E,OLDSMAR,FL,34677,16825,EXEMPT,1042000,781500,6.25,300,2016,8/3/16,8/3/16,0,3/25/41,0,,,,,,,561790,Other Services to Buildings and Dwellings,15,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Nikclean, LLC",261 Douglas Road E,OLDSMAR,FL,34677,16826,EXEMPT,350000,175000,6.25,84,2016,8/3/16,8/3/16,0,6/28/23,0,,,,,,,561790,Other Services to Buildings and Dwellings,15,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"The Dental Place, Inc",6738 W Sunrise Blvd Suite 105,Plantation,FL,33313,16834,EXEMPT,55000,27500,6,24,2016,6/2/16,6/2/16,0,5/23/18,0,,,,,,,621210,Offices of Dentists,2,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"The Dental Place, Inc",6738 W Sunrise Blvd Suite 105,Plantation,FL,33313,16836,EXEMPT,50000,25000,7,84,2016,6/2/16,6/2/16,0,4/27/23,0,,,,,,,621210,Offices of Dentists,2,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"TDG Shipping, Inc.",11231 US Highway 1,NORTH PALM BEACH,FL,33408,16842,EXEMPT,148000,74000,6,60,2016,4/14/16,4/14/16,0,3/19/21,0,,,,,,,453210,Office Supplies and Stationery,3,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
AR Central Closeout Corp,"4200 N 29th Avenue, Suite D",HOLLYWOOD,FL,33020,16845,PIF,250000,125000,6,84,2016,4/11/16,4/11/16,0,3/6/23,0,,,,,,,454390,Other Direct Selling Establishments,14,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Miami Tropical Wholesaler Inc.,2121 NW 24th Avenue,MIAMI,FL,33142,16848,EXEMPT,40000,20000,6.5,84,2016,3/23/16,3/23/16,0,2/15/23,0,,,,,,,424480,Fresh Fruit and Vegetable Merchant Wholesalers,10,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Peter Ruggiero M.D., P.A.",1200 SR 434,LONGWOOD,FL,32750,16851,EXEMPT,2295000,1721250,5.5,306,2016,3/9/16,3/9/16,0,4/27/41,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),19,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
GRIFFIN NELSON BAY COUNTY ENTE,739 & 741 Airport Road,PANAMA CITY,FL,32405,16853,EXEMPT,482000,361500,2.5,120,2016,3/4/16,3/4/16,0,1/11/26,0,,,,,,,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,7,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"ACE GLASS SERVICE, INC.",131 N Cypress Way,CASSELBERRY,FL,32707,16855,EXEMPT,476500,357375,5.5,300,2016,2/18/16,2/18/16,0,10/9/40,0,,,,,,,238150,Glass and Glazing Contractors,10,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Newo Enterprises Inc,1040 Central Florida Parkway,ORLANDO,FL,32837,16857,EXEMPT,544100,408075,6,120,2016,2/14/16,2/14/16,0,12/23/25,0,,,,,,,454210,Vending Machine Operators,2,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Nutshell Corp.,5314 N. 39th Street,TAMPA,FL,33610,16858,EXEMPT,1396500,1047375,6.25,120,2016,2/8/16,2/8/16,0,12/17/25,0,,,,,,,423840,Industrial Supplies Merchant Wholesalers,8,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Nutshell Corp.,5314 N. 39th Street,TAMPA,FL,33610,16859,PIF,100000,50000,8,84,2016,2/8/16,2/8/16,0,1/2/23,0,,,,,,,423840,Industrial Supplies Merchant Wholesalers,8,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Dispenser Beverages Inc.,"4307 Vineland Road, Suite H-9",ORLANDO,FL,32811,16863,EXEMPT,3003000,2702700,5.5,120,2016,12/20/15,12/20/15,0,10/28/25,0,,,,,,,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,36,INTER TRDE,"International Trade - Sec, 7(a) (16)","BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Master Z Pavers Inc,3212 Katherine Street,FORT MYERS,FL,33916,16865,EXEMPT,140000,119000,6,240,2016,12/11/15,12/11/15,0,8/28/35,0,,,,,,,238990,All Other Specialty Trade Contractors,0,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
A Better Learning Experience L,2740 NW 169 Terrace,MIAMI GARDENS,FL,33056,16866,EXEMPT,913100,684825,6,300,2016,12/3/15,12/3/15,0,7/24/40,0,,,,,,,624410,Child Day Care Services,14,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"M&S Holdings I, LLC",6758 N. Military Trail,WEST PALM BEACH,FL,33407,16867,EXEMPT,1164100,873075,5.25,95,2016,12/3/15,12/3/15,0,9/22/23,0,,,,,,,453310,Used Merchandise Stores,12,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Nitrotel International Group,",13449 NW 19 Lane,MIAMI,FL,33182,16868,EXEMPT,100000,50000,6.25,84,2016,12/2/15,12/2/15,0,10/26/22,0,,,,,,,238210,Electrical Contractors,2,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
AFFORDABLE CARTS NFM LLC,17521 N. Tamiami Trail,NORTH FORT MYERS,FL,33903,16869,EXEMPT,2305000,1728750,5.25,300,2016,12/1/15,12/1/15,0,7/22/40,0,,,,,,,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",24,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Elite Marine Yacht Services, L",2786 SW 3rd Avenue,FORT LAUDERDALE,FL,33315,16873,EXEMPT,350000,175000,5.75,84,2016,11/17/15,11/17/15,0,10/11/22,0,,,,,,,811310,Commercial and Industrial Machinery and Equipment (except Automotive a,38,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Pure Executive Health & Wellne,4100 Salzedo Street Unit #4 a,MIAMI,FL,33146,16874,EXEMPT,1113100,834825,5.25,303,2016,11/5/15,11/5/15,0,9/24/40,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),6,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
H & H ENTERPRISES OF TAMPA BAY,7840 Professional Place,TAMPA,FL,33637,16875,EXEMPT,100000,50000,4.75,84,2016,10/28/15,10/28/15,0,9/21/22,0,,,,,,,561990,All Other Support Services,28,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Coral Stone & Marble Corporati,153 w 21 street,HIALEAH,FL,33010,16882,EXEMPT,50000,25000,3.5,84,2015,9/23/15,9/23/15,0,8/17/22,0,,,,,,,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,1,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Fit2Go,LLC",7342 NW 35th St,MIAMI,FL,33122,16891,EXEMPT,10000,5000,6.75,84,2015,9/8/15,9/8/15,0,8/2/22,0,,,,,,,722320,Caterers,3,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Fit2Go,LLC",7342 NW 35th St,MIAMI,FL,33122,16892,EXEMPT,50000,25000,6.25,60,2015,9/8/15,9/8/15,0,8/12/20,0,,,,,,,722320,Caterers,3,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Saint Rachael, Inc.",6130 Clark Center Ave #107,SARASOTA,FL,34238,16893,EXEMPT,786200,589650,6,95,2015,9/4/15,9/4/15,0,6/24/23,0,,,,,,,561790,Other Services to Buildings and Dwellings,6,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Saint Rachael, Inc.",630 Clark Center Ave #107,SARASOTA,FL,34238,16894,EXEMPT,100000,50000,6,84,2015,9/4/15,9/4/15,0,7/29/22,0,,,,,,,561790,Other Services to Buildings and Dwellings,6,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Stuart Lawn & Garden, LLC",3326 SE Dixie Highway,STUART,FL,34997,16904,EXEMPT,516000,387000,6,120,2015,7/16/15,7/16/15,0,5/24/25,0,,,,,,,444210,Outdoor Power Equipment Stores,5,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Bickford Holdings LLC,811 Boca Ciega Isle Drive,SAINT PETERSBURG,FL,33706,16907,EXEMPT,110000,55000,6.25,84,2015,7/1/15,7/1/15,0,5/25/22,0,,,,,,,812910,Pet Care (except Veterinary) Services,3,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Niso LLC,12550 Biscayne Blvd Suite 304,MIAMI,FL,33181,16909,EXEMPT,242600,181950,6,300,2015,7/1/15,7/1/15,0,2/20/40,0,,,,,,,541219,Other Accounting Services,0,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Guao's Auto Inc,2201 Rockfill Road,FORT MYERS,FL,33916,16910,EXEMPT,250000,125000,6.25,84,2015,6/23/15,6/23/15,0,5/17/22,0,,,,,,,811111,General Automotive Repair,5,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Culli Holdings Inc,22 N. Polk Avenue,ARCADIA,FL,34266,16911,EXEMPT,483000,362250,6,120,2015,6/18/15,6/18/15,0,4/26/25,0,,,,,,,621610,Home Health Care Services,7,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Badger Welding of Orlando, LLC",800 W. Landstreet Rd.,ORLANDO,FL,32824,16912,EXEMPT,1632000,1468800,5.25,300,2015,6/9/15,6/9/15,0,1/29/40,0,,,,,,,238990,All Other Specialty Trade Contractors,10,INTER TRDE,"International Trade - Sec, 7(a) (16)","BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Guilco Family Dental Inc,"6550 N Federal Hwy, Suite 550",FORT LAUDERDALE,FL,33308,16914,EXEMPT,239600,119800,6.25,84,2015,5/27/15,5/27/15,0,4/20/22,0,,,,,,,621210,Offices of Dentists,6,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Smith Engineering Consultants,2161 Palm Beach Lakes Blvd. S,MIAMI,FL,33409,16915,EXEMPT,50000,25000,6.75,84,2015,5/18/15,5/18/15,0,4/11/22,0,,,,,,,541330,Engineering Services,4,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Cycle One Motorsports, Corp.",46 N. Orange Blossom Trail,ORLANDO,FL,32805,16917,EXEMPT,1025500,769125,5.25,300,2015,5/14/15,5/14/15,0,1/3/40,0,,,,,,,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",3,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Suncoast Vascular & General Su,11533 W. Emerald Oaks Drive,CRYSTAL RIVER,FL,34428,16918,EXEMPT,395000,296250,6,114,2015,5/11/15,5/11/15,0,9/20/24,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),2,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Elite Business Productions, In","1337, 1401 & 1405 West Coloni",ORLANDO,FL,32804,16919,EXEMPT,1792700,1613430,5.25,300,2015,5/8/15,5/8/15,0,12/28/39,0,,,,,,,561920,Convention and Trade Show Organizers,20,INTER TRDE,"International Trade - Sec, 7(a) (16)","BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Sanchez Industrial Welding Inc,17417 Jean Street,FORT MYERS,FL,33967,16920,EXEMPT,24000,12000,6.25,48,2015,5/5/15,5/5/15,0,4/14/19,0,,,,,,,238190,"Other Foundation, Structure, and Building Exterior Contractors",0,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
AFS Janitorial LLC,"1212 N. 39th Street, Suite 32",TAMPA,FL,33605,16925,PIF,1014000,760500,6,120,2015,3/19/15,3/19/15,0,1/25/25,0,,,,,,,561720,Janitorial Services,30,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"WESTERN BIKE & AUTO, LLC",2286 Tamiami Trail East,NAPLES,FL,34112,16926,EXEMPT,229400,172050,2,240,2015,3/3/15,3/3/15,0,11/18/34,0,,,,,,,451110,Sporting Goods Stores,4,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Dullmeyer Physical Therapy LLC,405 Lake Howell Rd.,MAITLAND,FL,32751,16927,PIF,196000,147000,5.25,300,2015,2/6/15,2/6/15,0,9/28/39,0,,,,,,,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",26,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
All Star Events Inc.,"14475 NW 60th Avenue, Buildin",HIALEAH,FL,33014,16928,EXEMPT,60000,30000,6.25,60,2015,2/3/15,2/3/15,0,1/8/20,0,,,,,,,713990,All Other Amusement and Recreation Industries,15,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Headway Enterprises Inc.,27978 Carl Circle,BONITA SPRINGS,FL,34135,16929,PIF,70000,35000,6.25,84,2015,2/3/15,2/3/15,0,12/28/21,0,,,,,,,713990,All Other Amusement and Recreation Industries,6,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Purewater Hotel Group, LLC",20967 US Hwy 19 North,CLEARWATER,FL,33765,16930,PIF,5000000,3750000,5.25,300,2015,2/2/15,2/2/15,0,9/24/39,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,15,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"TRASCA & CO, INC.",1100 Sawgrass Village Drive S,PONTE VEDRA BEACH,FL,32082,16935,EXEMPT,367100,275325,6,126,2015,1/15/15,1/15/15,0,5/22/25,0,,,,,,,722513,Limited-Service Restaurants,28,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Marble & Granite Connection, I",25 NE 5th Street,POMPANO BEACH,FL,33060,16936,PIF,150000,75000,5.25,84,2015,1/7/15,1/7/15,0,12/1/21,0,,,,,,,337110,Wood Kitchen Cabinet and Countertop Manufacturing,21,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Creative Beauty Group, LLC",8500 NW 56th ST,MIAMI,FL,33166,16938,PIF,1219000,914250,4.6,120,2015,12/23/14,12/23/14,0,10/31/24,0,,,,,,,325620,Toilet Preparation Manufacturing,42,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Creative Beauty Group, LLC",8500 NW 56th ST,MIAMI,FL,33166,16939,PIF,350000,175000,5,84,2015,12/23/14,12/23/14,0,11/16/21,0,,,,,,,325620,Toilet Preparation Manufacturing,42,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Proctor Hardware, Inc.",1281 Atlantic Blvd.,NEPTUNE BEACH,FL,32266,16940,EXEMPT,3630000,2722500,5.25,309,2015,12/22/14,12/22/14,0,5/9/40,0,,,,,,,444130,Hardware Stores,98,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
E.M. Professional Services Inc,12550 Biscayne Blvd. Suite 2,MIAMI,FL,33181,16942,PIF,72000,61200,5.5,240,2015,12/11/14,12/11/14,0,8/28/34,0,,,,,,,561790,Other Services to Buildings and Dwellings,2,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Joseph A.Chambrot,1885 NW North River Drive,MIAMI,FL,33125,16946,EXEMPT,50000,25000,6.75,84,2015,11/21/14,11/21/14,0,10/15/21,0,,,,,,,541110,Offices of Lawyers,0,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"OCI Associates, Inc.",600 S. Orlando Ave.,MAITLAND,FL,32751,16953,PIF,1581000,1185750,5.25,306,2015,10/8/14,10/8/14,0,11/26/39,0,,,,,,,541330,Engineering Services,42,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Sindledecker Denistry, P.A.",162 W Palmetto Park Road,BOCA RATON,FL,33432,16954,EXEMPT,69700,34850,4,48,2015,10/8/14,10/8/14,0,9/17/18,0,,,,,,,621210,Offices of Dentists,0,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Miret Insurance Group Inc.,"12505 Orange Drive, Suite 906",FORT LAUDERDALE,FL,33330,16962,EXEMPT,275000,137500,5,60,2014,9/26/14,9/26/14,0,8/31/19,0,,,,,,,524210,Insurance Agencies and Brokerages,4,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Capital Hospitality, LLC",3216 N. Monroe Street,TALLAHASSEE,FL,32303,16963,EXEMPT,1670000,1252500,5.5,300,2014,9/18/14,9/18/14,0,5/10/39,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,11,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Rajeshwer Hospitality, LLC",4432 W Hwy 98,PANAMA CITY,FL,32401,16965,EXEMPT,2465000,1848750,5.5,300,2014,9/15/14,9/15/14,0,5/7/39,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,11,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Marco Surveying & Mapping, LLC",3825 Beck Blvd. #725,NAPLES,FL,34114,16968,PIF,50000,25000,6.25,84,2014,9/4/14,9/4/14,0,7/29/21,0,,,,,,,541370,Surveying and Mapping (except Geophysical) Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Gateway Airport Concessions In,8619 NW 193rd Lane,MIAMI,FL,33299,16969,EXEMPT,80000,40000,6.25,48,2014,9/4/14,9/4/14,0,8/14/18,0,,,,,,,445299,All Other Specialty Food Stores,22,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Imperial Glass & Mirror Inc.,"4120 Enterprise Ave, Suite 10",NAPLES,FL,34104,16970,PIF,28000,14000,6,36,2014,9/3/14,9/3/14,0,8/18/17,0,,,,,,,327215,Glass Product Manufacturing Made of Purchased Glass,4,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Discount Diesel Truck Parts, I",9907 NW 116 Way Units 112 & 1,Medley,FL,33178,16973,PIF,97000,48500,4.75,84,2014,8/21/14,8/21/14,0,7/15/21,0,,,,,,,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,0,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Print Big Inc.,1680 W 33 Place,HIALEAH,FL,33012,16974,PIF,315000,236250,4.75,240,2014,8/8/14,8/8/14,0,4/25/34,0,,,,,,,323113,Commercial Screen Printing,4,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
MAXA ENTERPRISES,1275 Cleveland Street,CLEARWATER,FL,33755,16975,EXEMPT,50000,25000,6.5,48,2014,8/6/14,8/6/14,0,7/16/18,0,,,,,,,561492,Court Reporting and Stenotype Services,2,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Noble House Retirement of Jack,6561 San Juan Avenue,JACKSONVILLE,FL,32210,16979,PIF,1188000,891000,5.75,300,2014,8/1/14,8/1/14,0,3/23/39,0,,,,,,,623312,Homes for the Elderly,20,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Noble Gardens of Jacksonville,",7024 wILEY rOAD,JACKSONVILLE,FL,32210,16980,PIF,1629000,1221750,5.75,300,2014,8/1/14,8/1/14,0,3/23/39,0,,,,,,,623312,Homes for the Elderly,20,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
GLEN'S TENTS AND TABLE RENTAL,8000 NW 56th Street,MIAMI,FL,33166,16983,EXEMPT,948600,711450,5.25,300,2014,7/18/14,7/18/14,0,3/9/39,0,,,,,,,532299,All Other Consumer Goods Rental,20,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Floral Acres, LLC",12440 US Highway 441,BOYNTON BEACH,FL,33473,16985,PIF,250000,125000,6.25,84,2014,7/2/14,7/2/14,0,5/26/21,0,,,,,,,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",5,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Residential Pools Inc.,20841 Johnson Street Suite 10,Pembroke Pines,FL,33029,16986,PIF,49000,24500,5.75,48,2014,7/1/14,7/1/14,0,6/10/18,0,,,,,,,236220,Commercial and Institutional Building Construction,1,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Commercial Energy Specialists,",952 Jupiter Park Lane Suite 1,JUPITER,FL,33458,16988,PIF,350000,175000,5,84,2014,6/25/14,6/25/14,0,5/19/21,0,,,,,,,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,31,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Commercial Energy Specialists,","952 Jupiter Park Lane, Suite",JUPITER,FL,33458,16990,EXEMPT,1720900,1290675,4.7,120,2014,6/24/14,6/24/14,0,5/2/24,0,,,,,,,454390,Other Direct Selling Establishments,31,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Florida Institute of Pediatric,8765 SW 165 Avenue Suite 105,MIAMI,FL,33193,16993,PIF,100000,50000,6.25,84,2014,6/13/14,6/13/14,0,5/7/21,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),2,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Jonathan T. Bloch, DMD, P.A.",13722 SW 84th Street,MIAMI,FL,33183,16994,EXEMPT,90000,45000,5.75,60,2014,6/6/14,6/6/14,0,5/11/19,0,,,,,,,621210,Offices of Dentists,0,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
