BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
"Plastic Powerdrive Products, L",1589 highpoint drive,ELGIN,IL,60123,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,100000,90000,8/11/16,2016,,EXPRES EXP,FA$TRK (Small Loan Express),5.5,24,326199,All Other Plastics Product Manufacturing,COMMIT,0,,0,1,9
"Impex 9, Inc.",50 s main street,NAPERVILLE,IL,60540,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,350000,315000,4/1/16,2016,5/1/16,EXPRES EXP,FA$TRK (Small Loan Express),5,36,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,EXEMPT,0,,0,1,2
"Holabird & Root, LLC",140 Dearborn St Ste 410,Chicago,IL,60603,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,2053800,1540350,9/9/15,2015,10/1/15,OTH 7A,Guaranty,5.75,120,541310,Architectural Services,EXEMPT,0,,0,0,10
QCircuits Inc.,2775 Algonquin Rd.,Rolling Meadows,IL,60008,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,765000,573750,4/13/12,2012,7/1/12,OTH 7A,Guaranty,6,120,334310,Audio and Video Equipment Manufacturing,EXEMPT,0,,0,0,25
"Cleveland Dovington Partners,",15 Spinning Wheel Rd Ste 312,Hinsdale,IL,60521,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,428000,321000,2/14/12,2012,5/1/12,OTH 7A,Guaranty,5.25,120,541512,Computer Systems Design Services,PIF,0,,0,0,17
"Turbojet Partners, Inc.",882 Equity Drive,St. Charles,IL,60174,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,3000000,2700000,9/28/11,2011,,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),3.75,12,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,CANCLD,0,,0,1,6
"CHICAGO FRESH MEATS, INC.",9229 S. BALTIMORE AVENUE,CHICAGO,IL,60617,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,1185000,888750,4/11/11,2011,6/1/11,OTH 7A,Guaranty,6,96,424410,General Line Grocery Merchant Wholesalers,CHGOFF,1,12/17/15,989833,0,25
"RAINBOW BOOKS, INC.",500 EAST MAIN STREET,LAKE ZURICH,IL,60047,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,2500000,1875000,2/11/11,2011,4/1/11,OTH 7A,Guaranty,6,49,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",EXEMPT,0,,0,0,19
"BUYERS CHOICE, CORP.",1701 E. WOODFIELD ROAD,SCHAUMBURG,IL,60173,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,620000,465000,2/8/11,2011,4/1/11,OTH 7A,Guaranty,6,47,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesaler",EXEMPT,0,,0,0,7
"TENSOR GROUP, INC",10351 RISING COURT,WOODRIDGE,IL,60523,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,5000000,4500000,2/2/11,2011,,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),6.76,12,333293,Printing Machinery and Equipment Manufacturing,CANCLD,0,,0,1,30
"BERRY CUTLER DISTRIBUTORS, INC",2036 GEORGE STREET,MELROSE PARK,IL,60160,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,550000,412500,8/30/10,2010,11/1/10,OTH 7A,Guaranty,6,66,315119,Other Hosiery and Sock Mills,EXEMPT,0,,0,0,8
"TENSOR GROUP, INC",10351 RISING COURT,WOODRIDGE,IL,60523,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,2000000,1500000,7/7/10,2010,,EXIM,EXPORT IMPORT HARMONIZATION,6.85,12,333293,Printing Machinery and Equipment Manufacturing,CANCLD,0,,0,1,31
"Turbojet Partners, Inc.",882 EQUITY DRIVE,ST. CHARLES,IL,60174,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,1666666,1499999,2/4/10,2010,,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),3.75,12,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,CANCLD,0,,0,1,11
"NOTRHWESTERN DENTAL GROUP, LTD",7745 NORTH MILWAUKEE AVENUE,NILES,IL,60714,CORPORATION,"MB Financial Bank, National Association",800 W Madison St,CHICAGO,IL,60607,975900,878310,1/28/10,2010,3/1/10,OTH 7A,Guaranty,6,120,621210,Offices of Dentists,PIF,0,,0,0,10
"TERRY'S  OUTDOOR SERVICES, INC",6200 WESTERHEIDE DRIVE,CENTREVILLE,IL,62206,CORPORATION,Marquette Bank,6316 S Western Ave,CHICAGO,IL,60636,380900,342810,1/29/10,2010,5/1/10,OTH 7A,Guaranty,5.5,120,561730,Landscaping Services,EXEMPT,0,,0,0,1
Shawn J K Miller,11018 S Glasford Rd,Glasford,IL,61533,INDIVIDUAL,Marion County Savings Bank,301 W Main,SALEM,IL,62881,181000,135750,8/31/17,2017,12/31/17,OTH 7A,Guaranty,6.75,120,238990,All Other Specialty Trade Contractors,EXEMPT,0,,0,0,1
Sutherland-Garnier Funeral Hom,235 N Sycamore St.,CENTRALIA,IL,62801,CORPORATION,Marion County Savings Bank,301 W Main,SALEM,IL,62881,150000,127500,2/2/17,2017,4/30/17,OTH 7A,Guaranty,5.75,123,812210,Funeral Homes and Funeral Services,EXEMPT,0,,0,0,10
"iTech Repair, Inc.",N. Illinois Street,Fairview Heights,IL,62208,CORPORATION,Marion County Savings Bank,301 W Main,SALEM,IL,62881,31500,26775,6/30/16,2016,,OTH 7A,Guaranty,6.5,60,811213,Communication Equipment Repair and Maintenance,CANCLD,0,,0,0,5
James E Rockett,320 S Locust St.,CENTRALIA,IL,62801,INDIVIDUAL,Marion County Savings Bank,301 W Main,SALEM,IL,62881,117000,99450,5/3/16,2016,8/1/16,OTH 7A,Guaranty,5.5,139,238290,Other Building Equipment Contractors,EXEMPT,0,,0,0,5
"Advantage Door, Inc",S Locust,Centralia,IL,62801,CORPORATION,Marion County Savings Bank,301 W Main,SALEM,IL,62881,80000,68000,5/3/16,2016,8/1/16,OTH 7A,Guaranty,6.5,139,238290,Other Building Equipment Contractors,EXEMPT,0,,0,0,5
S Illinois Helicopter LLC,906 S Broadway,SALEM,IL,62881,INDIVIDUAL,Marion County Savings Bank,301 W Main,SALEM,IL,62881,350000,262500,2/16/16,2016,10/1/16,OTH 7A,Guaranty,5.75,96,115112,"Soil Preparation, Planting, and Cultivating",EXEMPT,0,,0,0,5
"US Sonet, LLC",123 E Main St.,Salem,IL,62881,CORPORATION,Marion County Savings Bank,301 W Main,SALEM,IL,62881,150000,127500,4/8/15,2015,5/1/15,OTH 7A,Guaranty,5.5,84,517110,Wired Telecommunications Carriers,PIF,0,,0,0,15
"US Sonet, LLC",123 E. Main Street,Salem,IL,62870,CORPORATION,Marion County Savings Bank,301 W Main,SALEM,IL,62881,150000,127500,12/10/14,2015,12/10/14,OTH 7A,Guaranty,5.5,84,517110,Wired Telecommunications Carriers,PIF,0,,0,0,18
BAILEY FAMILY INSURANCE AGENCY,3141 Temple Drive,Springfield,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,50000,25000,3/27/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),6,120,524210,Insurance Agencies and Brokerages,COMMIT,0,,0,1,4
"AMPLIFIED HR, INC.",2545 County Road 1375 N,Ogden,IL,61859,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,50000,25000,3/27/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,120,541612,Human Resources and Executive Search Consulting Services,COMMIT,0,,0,1,5
"Miles TShirts, LLC",304 NORTH ST,SPRINGFIELD,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,50000,25000,9/1/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,12,323113,Commercial Screen Printing,CANCLD,0,,0,1,24
"TGBA, LLC",304 NORTH ST,SPRINGFIELD,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,550000,412500,9/1/17,2017,9/30/17,PLP,Guaranty,4.75,240,531190,Lessors of Other Real Estate Property,EXEMPT,0,,0,0,24
"TGBA, LLC",2801 S. Lowell Avenue,Springfield,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,552400,414300,8/8/17,2017,,PLP,Guaranty,5.25,243,812990,All Other Personal Services,CANCLD,0,,0,0,15
"SPRINGFIELD GYMNASTICS CENTER,",3040 Hamliin Parkway,Springfield,IL,62711,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,190000,142500,7/12/17,2017,10/31/17,PLP,Guaranty,5.25,84,713940,Fitness and Recreational Sports Centers,EXEMPT,0,,0,0,4
"LAWN PERKS, INC.",2905 East Cook Street,Springfield,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,250000,187500,4/11/17,2017,5/31/17,PLP,Guaranty,5,84,561730,Landscaping Services,EXEMPT,0,,0,0,20
Foley Boom Inspection Inc,2248 Ramsey Road,Springfield,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,117500,99875,10/12/16,2017,12/1/16,SLA,Lender Advantage Initiative,6,88,488490,Other Support Activities for Road Transportation,EXEMPT,0,,0,0,2
Southernview Dental Group S C,2743 South Sixth Street,Springfield,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,150000,127500,10/12/16,2017,,SLA,Lender Advantage Initiative,4.75,184,621210,Offices of Dentists,CANCLD,0,,0,0,8
"H. A. L., LLC","1407 N Vetereans Parkway, Uni",BLOOMINGTON,IL,61704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,348600,261450,3/1/16,2016,5/1/16,PLP,Guaranty,5.25,84,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,21
"C. R. Liquidators, Inc.",2992 J David Jones Parkway,SPRINGFIELD,IL,62707,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,409200,306900,10/7/15,2016,11/1/15,PLP,Guaranty,5,240,423930,Recyclable Material Merchant Wholesalers,EXEMPT,0,,0,0,9
Dance Creations Dance Studio I,1401 East Cottonwood,SPRINGFIELD,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,145200,123420,6/22/15,2015,9/1/15,PLP,Guaranty,4.75,120,711120,Dance Companies,EXEMPT,0,,0,0,2
Holzmacher Chiropractic,600 South Grand Avenue West,SPRINGFIELD,IL,62705,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,125000,106250,12/31/14,2015,,SLA,Lender Advantage Initiative,1.75,240,621310,Offices of Chiropractors,CANCLD,0,,0,0,0
Northwestern Mutual Life,14 Deer Meadow Lane,PETERSBURG,IL,62675,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,250000,125000,12/31/14,2015,4/1/15,SBA EXPRES,FA$TRK (Small Loan Express),1.25,33,523930,Investment Advice,EXEMPT,0,,0,1,0
"Runkel Flatwork, Inc.",203 South 2nd Street,TAYLORVILLE,IL,62568,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,125000,62500,8/20/14,2014,1/1/15,SBA EXPRES,FA$TRK (Small Loan Express),6,31,238110,Poured Concrete Foundation and Structure Contractors,EXEMPT,0,,0,1,10
Anytime Fitness of Jacksonvill,901 West Morton Avenue Suite,JACKSONVILLE,IL,62650,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,100000,85000,7/23/14,2014,8/1/14,SLA,Lender Advantage Initiative,5.5,60,713940,Fitness and Recreational Sports Centers,PIF,0,,0,0,7
"Ergadoo, Inc.",1320 South State Street,SPRINGFIELD,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,60000,30000,5/28/14,2014,6/1/14,SBA EXPRES,FA$TRK (Small Loan Express),5.5,36,611710,Educational Support Services,EXEMPT,0,,0,1,5
"SUBWAY (O & O ENTERPRISES, INC",2731 West Bluffs,SPRINGFIELD,IL,62711,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,308000,231000,4/28/14,2014,6/1/14,PLP,Guaranty,5.5,60,722513,Limited-Service Restaurants,PIF,0,,0,0,32
"Benanti King Pin Lanes, LLC",3115 East Sangamon Ave,Springfield,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,250000,187500,4/22/14,2014,8/1/14,OTH 7A,Guaranty,5.5,120,713950,Bowling Centers,EXEMPT,0,,0,0,12
"ANYTIME FITNESS OF NORMAL, INC","1710 Bradford Lane, Suite 112",NORMAL,IL,61761,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,80000,68000,12/31/13,2014,1/1/14,PLP,Guaranty,5.25,84,713940,Fitness and Recreational Sports Centers,EXEMPT,0,,0,0,5
Anytime Fitness of Jacksonvill,901 West Morton Avenue Ste 1A,Jacksonville,IL,62650,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,50000,42500,9/24/13,2013,9/24/13,PLP,Guaranty,5.25,72,713940,Fitness and Recreational Sports Centers,PIF,0,,0,0,0
Schlosser's Transmission Servi,2911 East Cook Street,Springfield,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,560000,420000,7/18/13,2013,10/1/13,PLP,Guaranty,5.5,218,811113,Automotive Transmission Repair,EXEMPT,0,,0,0,7
"Runkel Flatwork, Inc.",203 South 2nd Street,Taylorville,IL,62568,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,50000,25000,6/21/13,2013,6/21/13,SBA EXPRES,FA$TRK (Small Loan Express),6,24,238110,Poured Concrete Foundation and Structure Contractors,PIF,0,,0,1,8
"Ergadoo, Inc.",1320 South State Street,Springfield,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,657000,492750,2/22/13,2013,4/1/13,PLP,Guaranty,5.25,246,611710,Educational Support Services,EXEMPT,0,,0,0,8
"Runkel Flatwork, Inc.",203 South 2nd Street,Taylorville,IL,62568,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,200000,150000,2/12/13,2013,3/1/13,PLP,Guaranty,5.5,111,238110,Poured Concrete Foundation and Structure Contractors,EXEMPT,0,,0,0,8
"Jones Plumbing, Inc.",705 North Main,Loami,IL,62661,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,85000,72250,1/25/13,2013,3/1/13,PLP,Guaranty,5.5,60,238220,"Plumbing, Heating, and Air-Conditioning Contractors",PIF,0,,0,0,0
Michael J. Canny,9657 Wildwood,Chatham,IL,62629,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,117000,99450,9/11/12,2012,9/11/12,PLP,Guaranty,5,84,541219,Other Accounting Services,EXEMPT,0,,0,0,4
"Evans Mason, Inc.",1021 South Grand Avenue East,Springfield,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,220000,165000,8/30/12,2012,7/1/13,PLP,Guaranty,5.5,120,238140,Masonry Contractors,PIF,0,,0,0,0
"Evans Mason, Inc.",1021 South Grand Avenue East,Springfield,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,350000,175000,8/17/12,2012,10/1/12,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,238140,Masonry Contractors,PIF,0,,0,1,40
"Bowden Customs & Restorations,",304 Browning Road,Springfield,IL,62707,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,40800,34680,1/17/12,2012,1/17/12,PLP,Guaranty,5,60,811111,General Automotive Repair,PIF,0,,0,0,1
Stanley Steemer of Central IL,2837 Singer Avenue,SPRINGFIELD,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,100000,50000,12/9/11,2012,1/1/12,SBA EXPRES,FA$TRK (Small Loan Express),4.25,71,561740,Carpet and Upholstery Cleaning Services,EXEMPT,0,,0,1,30
ALF Insurance Agency of Illino,114 North Grand Avenue East,SPRINGFIELD,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,327400,245550,12/1/11,2012,12/1/11,PLP,Guaranty,6,156,524210,Insurance Agencies and Brokerages,PIF,0,,0,0,3
Stanley Steemer of Central IL,2837 Siner Avenue,SPRINGFIELD,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,100000,50000,11/23/11,2012,,SBA EXPRES,FA$TRK (Small Loan Express),4.25,24,561740,Carpet and Upholstery Cleaning Services,CANCLD,0,,0,1,30
"ABC Mailing Cneter, Inc.",1045 Jason Place,CHATHAM,IL,62629,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,120000,102000,11/23/11,2012,12/1/11,PLP,Guaranty,6,84,561910,Packaging and Labeling Services,PIF,0,,0,0,6
"Benanti King Pin Lanes, LLC",3115 Sangamon Ave.,Springfield,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,1800000,1350000,11/21/11,2012,3/1/12,OTH 7A,Guaranty,6,237,713950,Bowling Centers,EXEMPT,0,,0,0,43
"ChoMonty, Inc.",105 South Grand Avenue West,SPRINGFIELD,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,439700,329775,11/16/11,2012,12/1/11,PLP,Guaranty,5.5,119,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",EXEMPT,0,,0,0,6
DBD Investment Company (EPC) V,2027 Peoria Road,Springfield,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,391500,293625,10/20/11,2012,4/1/12,OTH 7A,Guaranty,6,199,722110,Full-Service Restaurants,EXEMPT,0,,0,0,25
ROLLER KING LTD,3604 PEORIA RD,SPRINGFIELD,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,141000,126900,12/28/10,2011,2/1/11,RLA,Rural Lender Advantage,5.75,239,713990,All Other Amusement and Recreation Industries,EXEMPT,0,,0,0,11
"RMC CINEMAS, INC.",P.O.BOX 13492,SPRINGFIELD,IL,62704,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,2275000,2047500,12/17/10,2011,3/1/11,OTH 7A,Guaranty,6,298,713990,All Other Amusement and Recreation Industries,EXEMPT,0,,0,0,13
"JIM STAFF CARPET, INC",2527 NORTH 5TH STREET,SPRINGFIELD,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,630000,567000,12/16/10,2011,2/1/11,OTH 7A,Guaranty,6,120,442110,Furniture Stores,PIF,0,,0,0,13
Karhliker Lawn Care,2816 Brandywine.,Springfield,IL,62704,INDIVIDUAL,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,150000,135000,12/16/10,2011,,PLP,Guaranty,6,84,561730,Landscaping Services,CANCLD,0,,0,0,2
Jim Staff Carpet Inc.,2527 North 5th Street.,Springfield,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,350000,175000,12/2/10,2011,4/1/11,SBA EXPRES,FA$TRK (Small Loan Express),6,81,442110,Furniture Stores,PIF,0,,0,0,13
Jones Chiropractic,313 Brookside Drive Apt C.,Jacksonville,IL,62650,INDIVIDUAL,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,72000,64800,11/16/10,2011,,PLP,Guaranty,6,120,621310,Offices of Chiropractors,CANCLD,0,,0,0,4
Lucky Dollar Store,1705 Interlacken Rd.,Springfield,IL,62704,INDIVIDUAL,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,25000,22500,10/8/10,2011,11/1/10,PLP,Guaranty,7,60,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),PIF,0,,0,0,12
PREMIERE PHYSICAL THERAPY & SP,"320 EAST CARPENTER STREET, SU",SPRINGFIELD,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,1300000,1170000,10/1/10,2011,11/1/10,OTH 7A,Guaranty,5.75,84,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",PIF,0,,0,0,16
Newberry's ATA Black Belt Acad,505 South Neil Street.,Champaign,IL,61820,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,106500,90525,9/14/10,2010,9/14/10,PLP,Guaranty,6,84,812990,All Other Personal Services,PIF,0,,0,0,10
Dig-It-All Designs Inc.,2417 South 10th Street.,Springfield,IL,62703,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,45000,38250,6/29/10,2010,,PLP,Guaranty,6,84,541613,Marketing Consulting Services,CANCLD,0,,0,0,6
ROLLER KING LTD (EPC) GOAL IND,3604 PEORIA ROAD,SPRINGFIELD,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,721000,648900,5/30/10,2010,6/1/10,OTH 7A,Guaranty,6,276,713990,All Other Amusement and Recreation Industries,EXEMPT,0,,0,0,10
Jayco Inc.,6759 Curran Road.,Chatham,IL,62629,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,100000,50000,4/19/10,2010,5/7/10,SBA EXPRES,FA$TRK (Small Loan Express),6,65,237990,Other Heavy and Civil Engineering Construction,PIF,0,,0,1,4
"ILLINOIS METER, INC.",4390 JEFFORY STREET P.O. BOX,SPRINGFIELD,IL,62708,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,1000000,900000,4/7/10,2010,4/7/10,OTH 7A,Guaranty,5.5,120,423830,Industrial Machinery and Equipment Merchant Wholesalers,PIF,0,,0,0,41
Christina M. Branham,9 Forest Ridge.,Springfield,IL,62712,INDIVIDUAL,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,150000,135000,1/27/10,2010,3/1/10,PLP,Guaranty,6,84,621111,Offices of Physicians (except Mental Health Specialists),PIF,0,,0,0,2
"CROSSROADS FORD TRUCK SALES, I",3441 GATLIN DR,SPRINGFIELD,IL,62707,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,1750000,1499925,12/24/09,2010,10/1/11,OTH 7A,Guaranty,6,300,441110,New Car Dealers,PIF,0,,0,0,65
MUD MAYHEM & MOTORSPORTS,299 WAHL ROAD,MURRAYVILLE,IL,62668,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,75000,67500,12/24/09,2010,1/1/10,OTH 7A,Guaranty,6.25,60,711212,Racetracks,PIF,0,,0,0,7
"CAPITOL READY MIX, INC.",1900 EAST MASON,SPRINGFIELD,IL,62702,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,1450000,1190595,11/19/09,2010,3/1/11,OTH 7A,Guaranty,6,240,327320,Ready-Mix Concrete Manufacturing,PIF,0,,0,0,25
AMERICA'S BEST VALUE INN,450 E PERSHING AVENUE,DECATUR,IL,62526,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,865000,778500,11/19/09,2010,12/1/09,OTH 7A,Guaranty,6,74,721110,Hotels (except Casino Hotels) and Motels,CHGOFF,1,11/29/12,865000,0,10
"Country Motor Trailer Sales, I",770 E. 2050 NORTH RD.,EDINBURG,IL,62531,CORPORATION,Marine Bank,3050 Wabash Ave,SPRINGFIELD,IL,62704,646500,581850,10/8/09,2010,,OTH 7A,Guaranty,6,288,441229,All Other Motor Vehicle Dealers,CANCLD,0,,0,0,3
"Crystal Inn, Ltd.",19133 West Highway 120,Grayslake,IL,60030,CORPORATION,"MainStreet Lender 7(a), LLC",2 Wisconsin Circle,CHEVY CHASE,MD,20815,1925000,1499960,3/23/10,2010,,PLP,Guaranty,6,300,722110,Full-Service Restaurants,CANCLD,0,,0,0,17
"Steelfab, Inc.",2045 S Kensington Ave,KANKAKEE,IL,60901,CORPORATION,MainSource Bank,201 N Broadway,GREENSBURG,IN,47240,4000000,3000000,1/17/17,2017,2/1/17,OTH 7A,Contract Guaranty,3.75,12,238120,Structural Steel and Precast Concrete Contractors,PIF,0,,0,1,13
Larry J. Breeck,5000 S Otto Rd,Chebanse,IL,60901,INDIVIDUAL,MainSource Bank,201 N Broadway,GREENSBURG,IN,47240,81000,60750,10/7/16,2017,11/1/16,PLP,Guaranty,4.29,183,441222,Boat Dealers,EXEMPT,0,,0,0,2
Jack Henning,6039 N. CR 14000 E. Rd.,Momence,IL,60954,INDIVIDUAL,MainSource Bank,201 N Broadway,GREENSBURG,IN,47240,150000,75000,5/28/14,2014,6/1/14,SBA EXPRES,FA$TRK (Small Loan Express),5,120,611610,Fine Arts Schools,PIF,0,,0,0,13
Georgetown Discount Foods Inc,204 Huffman St,Georgetown,IL,61846,CORPORATION,Longview Bank & Trust,202 W Madison Ave,CHRISMAN,IL,61924,150000,127500,1/28/16,2016,5/1/16,SLA,Lender Advantage Initiative,5,120,445110,Supermarkets and Other Grocery (except Convenience) Stores,EXEMPT,0,,0,0,28
VILLA GROVE MARKET INC.,10 EAST HARRISON,VILLA GROVE,IL,61956,CORPORATION,Longview Bank,102 S East Ave,OGDEN,IL,61859,435000,391500,10/1/10,2011,11/1/10,OTH 7A,Guaranty,7,75,445110,Supermarkets and Other Grocery (except Convenience) Stores,CHGOFF,1,9/24/14,260225,0,24
Greer Insurance Group Incorpor,6641 Grand Ave Suite B,Gurnee,IL,60031,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,70000,59500,3/23/18,2018,,CA,Community Advantage Initiative,8.25,60,524210,Insurance Agencies and Brokerages,COMMIT,0,,0,0,5
Power House Holding LLC,1007-1009 E. 162nd,South Holland,IL,60473,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,154700,116025,2/2/18,2018,2/28/18,CA,Community Advantage Initiative,8.75,180,541810,Advertising Agencies,EXEMPT,0,,0,0,8
Canady Enterprises LLC,South Carpenter St,Chicago,IL,60643,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,57000,48450,6/7/17,2017,,CA,Community Advantage Initiative,7.75,87,621610,Home Health Care Services,CANCLD,0,,0,0,9
Designs by Maida Inc.,"Newport Drive, Unit 6",Rolling Meadows,IL,60008,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,208200,156150,12/15/16,2017,1/1/17,CA,Community Advantage Initiative,7.25,75,541410,Interior Design Services,PIF,0,,0,0,4
